NAME               KEYWORD       S                         L                         ANGLE                     ROLL                      K0L                       K0SL                      K1L                       K1SL                      K2L                       K2SL                      HKICK                     VKICK                     KICK                      X                         XP                        Y                         YP                        DX                        DPX                       DY                        DPY                       BETA11                    BETA12                    BETA21                    BETA22                    ALFA11                    ALFA12                    ALFA21                    ALFA22                   
Q2PR               Quadrupole    +1.50006249674485908E+001 +4.50000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.28339573864919620E-001 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +2.02049807577539058E-014 +2.56401107995709132E-016 +0.00000000000000000E+000 +0.00000000000000000E+000 +5.75767613602298698E-012 +6.25589163384326438E-014 +0.00000000000000000E+000 +0.00000000000000000E+000 +8.11842445882487937E+002 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.84037677860364596E+002 -9.06180398609832594E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +3.40708074021670626E+000
O1PR#4             Drift         +3.80012501302503836E+001 +2.30006251628017964E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +2.61023665340902742E-014 +2.56401107995709132E-016 +0.00000000000000000E+000 +0.00000000000000000E+000 +7.19657032131435308E-012 +6.25589163384326438E-014 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.28285863367125125E+003 +0.00000000000000000E+000 +0.00000000000000000E+000 +6.35508254963993693E+001 -1.14166040769365527E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.83133567286518306E+000
Q3PR               Quadrupole    +3.95012501302503836E+001 +1.50000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +8.86559774893059573E-003 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +2.63127487740001425E-014 +2.37976155777169568E-017 +0.00000000000000000E+000 +0.00000000000000000E+000 +7.24257646065229460E-012 -1.28507994656708893E-015 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.30005046923071336E+003 +0.00000000000000000E+000 +0.00000000000000000E+000 +5.90116873974853675E+001 +6.23076923076126832E-003 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.20815857325946663E+000
O1PR#5             Drift         +4.00012501302503907E+001 +5.00000000000007105E-001 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +2.63246475817890020E-014 +2.37976155777169568E-017 +0.00000000000000000E+000 +0.00000000000000000E+000 +7.24193392067901110E-012 -1.28507994656708893E-015 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.30004443076917482E+003 +0.00000000000000000E+000 +0.00000000000000000E+000 +5.78139489937152504E+001 +5.84615384614586148E-003 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.18731823428074090E+000
O_CRAB_IP6R        Pipe          +5.52012501302503864E+001 +1.51999999999999993E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +2.66863713385703012E-014 +2.37976155777169568E-017 +0.00000000000000000E+000 +0.00000000000000000E+000 +7.22240070549119165E-012 -1.28507994656708893E-015 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.30004443076917505E+003 +0.00000000000000000E+000 +0.00000000000000000E+000 +3.13493785068701776E+001 -5.84615384616233094E-003 +0.00000000000000000E+000 +0.00000000000000000E+000 +5.53771929327487644E-001
OFL                Drift         +5.57012501302503864E+001 +5.00000000000000000E-001 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +2.66982701463591606E-014 +2.37976155777169568E-017 +0.00000000000000000E+000 +0.00000000000000000E+000 +7.22175816551790815E-012 -1.28507994656708893E-015 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.30005046923071336E+003 +0.00000000000000000E+000 +0.00000000000000000E+000 +3.08060267470320497E+001 -6.23076923077773171E-003 +0.00000000000000000E+000 +0.00000000000000000E+000 +5.32931590348762252E-001
Q4PR               Quadrupole    +5.72012501302503864E+001 +1.50000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +3.94889210431954990E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +2.59467961564358556E-014 -1.02081222977989510E-015 +0.00000000000000000E+000 +0.00000000000000000E+000 +7.00780190356263820E-012 -2.82585349180354286E-013 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.22457223549070522E+003 +0.00000000000000000E+000 +0.00000000000000000E+000 +3.11000525016479834E+001 +4.93275896986815710E+001 -0.00000000000000000E+000 +0.00000000000000000E+000 -7.32803815858849128E-001
O2PR               Drift         +7.38699282186741755E+001 +1.66686780884237962E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +8.93120570950868028E-015 -1.02081222977989510E-015 +0.00000000000000000E+000 +0.00000000000000000E+000 +2.29747768557047955E-012 -2.82585349180354286E-013 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.32422215558241987E+002 +0.00000000000000000E+000 +0.00000000000000000E+000 +6.92612148847676252E+001 +1.61935040640535064E+001 -0.00000000000000000E+000 +0.00000000000000000E+000 -1.55658963098095304E+000
B1PR               Sbend         +7.75699727732164064E+001 +3.70004455454222470E+000 -1.70000000000000012E-002 +0.00000000000000000E+000 -1.70000000000000012E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +5.15433690281622379E-015 -1.02081222977989510E-015 +0.00000000000000000E+000 +0.00000000000000000E+000 -3.14498043446302944E-002 -1.70005083809655830E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +3.98057020154585928E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +8.14350291221617084E+001 +8.83889037244912856E+000 -0.00000000000000000E+000 +0.00000000000000000E+000 -1.73311537106492897E+000
O2FL               Drift         +7.85699727732164064E+001 +1.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +4.13352467303632889E-015 -1.02081222977989510E-015 +0.00000000000000000E+000 +0.00000000000000000E+000 -4.84503127255958774E-002 -1.70005083809655830E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +2.41157265097555964E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +8.49504240744917638E+001 +6.85108513325386959E+000 -0.00000000000000000E+000 +0.00000000000000000E+000 -1.78227958126513086E+000
